SemanaId;OrganizacionId;TipoOperacionId;EstadoId;Cantidad;Volumen
202542;24;3;2;6486;98135608.64
202542;24;3;3;122;1542876.18
202542;24;3;6;17;441772.29
202542;24;3;7;1;14300
202542;24;4;2;50128;15023386938.69
202542;24;5;2;50128;15023386938.69
202542;28;1;2;5;135839882.30
202542;28;2;2;275;168463488.35
202542;29;2;2;1;1500000
202542;29;3;2;9;69272.81
202542;30;1;2;5;5347108.89
202542;30;2;2;56;8399219.29
202542;30;4;2;7;7436267.15
202542;30;5;2;7;7436267.15
202542;31;1;2;77;2270013.51
202542;31;2;2;11;4089441.45
202542;31;14;2;53;300913.20
202542;31;14;3;2;14400
202542;32;1;2;3;91200
202542;32;2;2;1;1594.41
202542;32;3;2;6;2710
202542;32;4;2;3;917.94
202542;32;5;2;3;917.94
202542;33;4;2;5;29022
202542;33;5;2;5;29022
202542;33;9;3;4;72000
202542;33;9;5;1;16000
202542;40;2;2;1;10000000
202542;40;3;2;31;593590.40
202542;40;3;3;1;5500
202543;3;1;2;1;1
202543;3;2;2;1;14.85
202543;3;3;2;18;56
202543;3;3;6;4;17.60
202543;4;1;2;40199;7767701653.85
202543;4;1;3;162;88941828.29
202543;4;2;2;57237;9775956739.57
202543;4;3;2;2723;47853286.28
202543;4;3;3;77;1705507.66
202543;4;3;6;5;149991.36
202543;4;3;7;1;200000
202543;4;4;2;218;13171707.34
202543;4;5;2;218;13171707.34
202543;5;1;2;889540;47013908251.08
202543;5;1;3;3223;295596744.27
202543;5;2;2;1868351;51302300101.14
202543;5;3;2;53604;859305420.22
202543;5;3;3;1952;35563756.03
202543;5;3;5;1;13000
202543;5;3;6;106;1782095.39
202543;5;3;7;3;127000
202543;5;4;2;931;80696978.48
202543;5;5;2;931;80696978.48
202543;6;2;2;2;200000000
202543;6;3;2;9810;206252355.79
202543;6;3;3;453;11882179.69
202543;6;3;6;85;1923467.10
202543;6;3;7;1;53171.50
202543;8;1;2;19;17620949.18
202543;8;1;3;3;7900675.79
202543;8;2;2;84;20780056.01
202543;9;1;2;3826;37625503.44
202543;9;1;3;14;83100.01
202543;9;2;2;9106;86032072.25
202543;9;3;2;810;14258870.34
202543;9;3;3;16;1717384.53
202543;9;3;6;1;12
202543;9;4;2;58;821428.95
202543;9;5;2;58;821428.95
202543;9;7;2;9818;35443340
202543;13;1;2;1430;170232569.39
202543;13;1;3;4;659538.40
202543;13;2;2;42;69214238.81
202543;13;3;2;6;113225
202543;13;4;2;33;33220700.43
202543;13;5;2;33;33220700.43
202543;14;1;2;528;423380052.16
202543;14;1;3;4;212000
202543;14;2;2;711;422019873.04
202543;14;3;2;35;393393.48
202543;14;3;3;2;8800
202543;14;4;2;1321;451281846.27
202543;14;5;2;1321;451281846.27
202543;15;1;2;1488;473917421.31
202543;15;2;2;1078;424391966.73
202543;15;3;2;36;256757.82
202543;15;3;3;8;21616.72
202543;15;4;2;1605;519685318.36
202543;15;5;2;1605;519685318.36
202543;15;14;2;2;999000
202543;16;1;2;2;6150
202543;16;2;2;1;38000
202543;16;3;2;198;6356435.62
202543;16;3;3;29;1105463.72
202543;18;2;2;552;402978242.05
202543;18;3;2;16383;368581474.41
202543;18;3;3;317;6883919.38
202543;18;3;6;61;1773246.93
202543;18;3;7;3;83000
202543;19;1;2;7;477037.58
202543;19;2;2;36;2134800
202543;20;1;2;95;13094012.98
202543;20;1;3;2;297237.60
202543;20;2;2;129;17770828.48
202543;20;9;2;56;7731351.51
202543;20;9;5;30;6495300.24
202543;20;10;2;61;6687.28
202543;24;1;2;92354;10224688960.20
202543;24;1;3;646;1883285100.16
202543;24;2;2;60510;8341901876.45
202543;24;3;2;9804;147320310.39
202543;24;3;3;229;3455315.38
202543;24;3;6;43;1349559.62
202543;24;3;7;1;28837.72
202543;25;1;2;2;14001
202543;25;2;2;2;23
202543;25;3;2;8;22
202543;25;14;2;8;16000
202543;28;1;2;3;70307125
202543;28;2;2;276;73358720.56
